job_id,job_type,job_text,rank,resume_index,score,resume_domain,resume_preview
dataset_0,dataset,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",1,258,0.4240831,Research Assistant,"B.Sc. in Computer Science & Engineering, Bangladesh University of Engineering and Technology (2017–2022), CGPA 3.80/4.00, Major CGPA 3.95/4.00 Skilled in Python, C++, TypeScript, FastAPI, React, Node, Docker, Kubernetes, GCP, Terraform, CI/CD. Top 4% Codeforces (900+ solves). 9th in ICPC Asia Dhaka "
dataset_0,dataset,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",2,297,0.41619575,Research Assistant,"M.Sc. in CSE (CGPA 3.97/4.0) & B.Sc. in CSE (CGPA 3.24/4.0), North South University Skilled in Cybersecurity, Cloud Computing (OCI), DevOps, Linux, NS-3, HELICS, and Blockchain. Certified Ethical Hacker (Master, CEH). Published 6 papers incl. IEEE ICCCNT 2024 (ML in AHU), ICSGSC 2024 (Smart Grid Sec"
dataset_0,dataset,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",3,6,0.39955115,Banking,"BS, Electrical & Computer Engineering—Univ. of Michigan. Certificate, Project Management—UC Irvine (2015). Sales/loan origination, consultative selling, branch ops/compliance, training/coaching, audits/reconcilements. Licensed Financial Specialist (2008–2010). Windsor Capital Top/Platinum/Gold/Silve"
dataset_0,dataset,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",4,216,0.3965688,Apparel,"Associate in Networking Tech, Bucks County CC 2003; MSCE Prep Cert, New Wave Tech 2003. PCI/SOX audits, IT governance, SAP controls, COBIT, ITIL, CSM, CISA, MCP, vendor negotiation saving $9.2M. 15+ yrs IT; auditor, analyst, and support roles; managed audits, compliance, procurement, licensing, and "
dataset_0,dataset,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",5,288,0.38499114,Research Assistant,"Ph.D. in Computer Science, Univ. of Kentucky (2025–29); M.Eng. in CSE, BRAC Univ. (2018–21) Skilled in Go, Python, Java, Node.js, Django, React, GCP, Kubernetes, and microservices. Certified Kubernetes App Developer (CNCF, 2024) and Google Widevine Partner (2024). Expertise in OTT, DRM, and scalable"
dataset_0,dataset,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",6,283,0.3801851,Research Assistant,"M.S. in Computer Science, Univ. of Nebraska at Omaha (2025–27); B.Sc. in CSE, Chittagong Univ. of Engineering & Technology (2019–24) Skilled in ML, DL, Cloud Computing, MERN Stack, React, Git, and Data Analysis. 3-time ICPC Regionalist, ICPC AlgoQueen Silver Medalist (Global 9th). Certified in ML (C"
dataset_0,dataset,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",7,34,0.35365123,Banking,"B.E., Electronics & Communication, Easwari Engineering College (2010). Certifications/Training: ITIL ASM Basic (2011, RTB Business Academy); Windows & Web App Development using .NET (2010, NIIT). C#/.NET 3.5, ASP.NET 2.0/3.5, PL/SQL, SQL Server 2008, Oracle 9i, HTML4/CSS2/JS, AJAX. Tools: BusinessOb"
dataset_0,dataset,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",8,282,0.34859347,Research Assistant,"B.Sc. in Computer Science & Engineering, BRAC University (2019–23); HSC, Notre Dame College (2018). Certified in CI/CD for ML and Docker (DataCamp, 2024) Skilled in ML, DL, Computer Vision, MLOps, Docker, and QA automation. Published in Nature Scientific Reports (VICReg, 2024) and ICECCME 2023 (Corn"
dataset_0,dataset,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",9,5,0.3400763,Banking,"High School Diploma (Math), University of California, Riverside — United States. Microsoft Excel/Word/Outlook; customer engagement; prospecting and sourcing small-business clients; risk/loss mitigation; cash handling; coaching/mentoring; bilingual English–Spanish (reading/writing); Notary Public. Re"
dataset_0,dataset,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",10,49,0.32393056,Banking,"MBA, UCLA Anderson (2002); BE, Thapar Univ. (1993); MIT (2016, exec/advanced tech coursework). Lead 50+ across 25 apps; Agile/Scrum rollout; Jira at scale; APM (Splunk/AppDynamics) MTTR↓; AWS cloud-native (12-factor, EBS, RDS, SNS, Lambdas); DevOps/CI/CD (Git, Jenkins, SonarQube); DevSecOps (Veracod"
