job_id,job_text,rank,resume_index,score,resume_domain
dataset_0,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",1,155,0.015601580056318589,TEACHER
dataset_0,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",2,248,0.01360151918505372,Apparel
dataset_0,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",3,152,0.01177958752770258,TEACHER
dataset_0,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",4,239,0.010117974745668468,Apparel
dataset_0,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",5,79,0.010068700555644588,Finance
dataset_0,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",6,204,0.009430742695758236,Apparel
dataset_0,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",7,297,0.009037003747126932,Research Assistant
dataset_0,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",8,170,0.008848595277666212,TEACHER
dataset_0,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",9,130,0.008588332802883814,ACCOUNTANT
dataset_0,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",10,171,0.008036142087067632,TEACHER
dataset_6,"1806/03 Sales Manager **Requirements:**
•⠀Experience in IT sales 1+ year
•⠀Generic understanding of IT technologies and Software Development process
•⠀Knowledge of sales techniques, sales markets
•⠀Good communication and negotiation skills
•⠀Fluent written and good spoken English

**We offer:",1,218,0.14445390244192502,Apparel
